"model_code","response","response_label","effect_group","effect_type","term","estimate","std.error","statistic","p.value","conf.low","conf.high","odds_ratio","or_conf.low","or_conf.high","class","window","class_label","benchmark_class","benchmark_label","term_label","n_subjects","n_pseudo_rows","total_weight"
"ULWOM","DPBN","Adolescent depressive symptoms","Intercept","intercept","(Intercept)",-4.64525164004562,0.740941002482615,-6.26939476217557,3.62454161493541e-10,-6.09749600491155,-3.1930072751797,0.00960711182141292,0.00224849088649263,0.0410482417801138,,,,,,"Intercept",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Two-window class history","early_class","early_class1",-0.037731944463922,0.288796953877086,-0.130652155285478,0.896050482352574,-0.60377397406301,0.528310085135166,0.962971036015027,0.546744338631121,1.69606368220577,1,"Early Childhood (0–5 Years)","Late-Onset Maternal Absence",2,"Stable Low Maternal Absence","Early: Late-Onset Maternal Absence vs Stable Low Maternal Absence",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Two-window class history","early_class","early_class3",0.355625807310321,0.271042387232078,1.31206713068764,0.189497485140536,-0.175617271664553,0.886868886285195,1.42707344789001,0.838939007630541,2.42751690784363,3,"Early Childhood (0–5 Years)","Stable High Maternal Absence",2,"Stable Low Maternal Absence","Early: Stable High Maternal Absence vs Stable Low Maternal Absence",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Two-window class history","early_class","early_class4",0.155678614807516,0.231524637415604,0.672406256825537,0.501325100667189,-0.298109674527068,0.609466904142101,1.16845062001226,0.742219932663619,1.83945053389693,4,"Early Childhood (0–5 Years)","Early Peak, Declining Maternal Absence",2,"Stable Low Maternal Absence","Early: Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Two-window class history","mid_class","mid_class1",0.0401026302618409,0.302938458338802,0.132378802221904,0.894684680484268,-0.553656748082212,0.633862008605894,1.04091759835627,0.57484390300088,1.88487594790778,1,"Middle–Late Childhood (6–12 Years)","Late-Onset Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Late-Onset Maternal Absence vs Stable Low Maternal Absence",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Two-window class history","mid_class","mid_class2",0.284125178529523,0.318010180262218,0.893446801908179,0.371617948759606,-0.339174774784425,0.90742513184347,1.32859923244212,0.712357936003936,2.47793395880134,2,"Middle–Late Childhood (6–12 Years)","Mid-Childhood Onset Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Two-window class history","mid_class","mid_class3",0.0228232756005344,0.275348216983107,0.0828887720814065,0.933939981898892,-0.516859229686356,0.562505780887424,1.02308571936066,0.596390735836013,1.75506480276302,3,"Middle–Late Childhood (6–12 Years)","Declining Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Declining Maternal Absence vs Stable Low Maternal Absence",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Two-window class history","mid_class","mid_class4",0.150030206717193,0.240197928363281,0.624610743895691,0.532226566490785,-0.320757732874838,0.620818146309223,1.16186933845674,0.725599018486167,1.86044953928178,4,"Middle–Late Childhood (6–12 Years)","Stable High Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Stable High Maternal Absence vs Stable Low Maternal Absence",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Fixed covariate","fixed_covariate","SEXMale",-1.00998585815048,0.198908421346873,-5.07764252167676,3.82146832229573e-07,-1.39984636399035,-0.62012535231061,0.364224130337945,0.246634853025627,0.53787700924268,,,,,,"Male vs Female",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Fixed covariate","fixed_covariate","AGE",0.0588905449996529,0.0507065772920185,1.16139854324032,0.24547986113758,-0.0404943464927034,0.158275436492009,1.06065913993984,0.960314593641628,1.17148882104539,,,,,,"Age (per year)",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Fixed covariate","fixed_covariate","RURALYes",-0.254550931818329,0.180523515633245,-1.41007076515992,0.158518788624522,-0.60837702245949,0.0992751588228309,0.77526456645116,0.544233431327255,1.10437013494177,,,,,,"Rural vs non-rural",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Fixed covariate","fixed_covariate","CLYR",-0.00358619013593655,0.0600147124562365,-0.0597551831736534,0.95235062040011,-0.12121502655016,0.114042646278287,0.996420232563941,0.88584345924927,1.12079992181033,,,,,,"Calendar year (per unit)",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Adolescent pathway","mediator","DNKA",0.284968777144483,0.192383867226061,1.4812509034847,0.138539726204967,-0.092103602618596,0.662041156907562,1.32972050980196,0.912010657958035,1.93874558236725,,"Adolescent pathway block",,,,"Alcohol use",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Adolescent pathway","mediator","ESXC",0.650320397045337,0.241866770451611,2.6887546223529,0.00717191163652534,0.176261526960179,1.12437926713049,1.91615466096545,1.19274995413411,3.07830545037003,,"Adolescent pathway block",,,,"Ever had sexual intercourse",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Adolescent pathway","mediator","FDSC",0.723575322528306,0.173476979703371,4.17101637211779,3.03244071711882e-05,0.383560442309699,1.06359020274691,2.06179161848697,1.46750024887274,2.89675227062382,,"Adolescent pathway block",,,,"Food insecurity",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Adolescent pathway","mediator","GOVG",0.391514767992211,0.19931701255217,1.96428173881913,0.0494974282065557,0.000853423389957031,0.782176112594465,1.47921977245275,1.00085378765932,2.18622456366221,,"Adolescent pathway block",,,,"Lack of government grant receipt",3207,15370,3206.69900100001
"ULWOM","DPBN","Adolescent depressive symptoms","Adolescent pathway","mediator","VLNC",0.599830922338212,0.179313025110236,3.34516091047739,0.000822348458669093,0.24837739312215,0.951284451554274,1.82181074684746,1.28194363762655,2.5890330119925,,"Adolescent pathway block",,,,"Violence exposure",3207,15370,3206.69900100001
